Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.86956203	0.581029	2.0640504	0.26557937	200.0	0.08523828	0.29456106	1.0278808	-0.99367607	4000	2.4795533e-08	0.115610965	-0.018102678	-0.09869662	7.3720765	0.015590786	0.18125	3.0	18.767545223236084
1	1.162399	1.0655956	4.640794	0.19577622	200.0	0.04318964	0.12449061	0.6064474	-0.35474983	8000	-1.4305114e-08	0.11684719	-0.014176116	-0.0586073	7.2982607	0.018180426	0.25525	6.0	36.90149402618408
2	1.2906306	0.9809734	4.000092	0.21513581	200.0	0.07935745	0.1679405	0.912101	-0.33308902	12000	-1.3351441e-08	0.04743982	-0.015320385	-0.019978354	7.3172193	0.016466025	0.268	8.0	54.95224642753601
3	1.9729366	1.4825865	5.8216505	0.3124489	200.0	0.08666091	0.1926718	1.3309294	-0.27285406	16000	-1.3351441e-08	0.099103406	-0.0126432	-0.040165566	7.31896	0.017792763	0.2245	7.0	72.91662740707397
4	1.8541582	0.9920983	4.5297503	0.43164423	200.0	0.19631594	0.36492324	2.3795938	-0.32444835	20000	-3.33786e-08	0.13289583	-0.025790788	-0.07965249	7.3097396	0.015442148	0.23	19.0	91.07973909378052
5	1.9847085	0.84826326	3.5018966	0.5154514	200.0	0.0683464	0.33399647	1.7101445	-0.65730184	24000	-3.051758e-08	0.05011643	-0.011829689	-0.031043295	7.3265133	0.01711722	0.2235	7.0	109.10414028167725
6	2.0662456	1.1396397	5.046358	0.4482807	200.0	0.16028485	0.340443	2.0688167	-0.51666504	28000	-3.242493e-08	0.061247878	-0.025527619	-0.021977395	7.2261586	0.015241187	0.24075	33.0	127.80797576904297
7	3.0630727	1.3027277	6.1156898	0.9211708	200.0	0.16481708	0.3206193	2.1431167	-0.42418745	32000	5.722046e-09	0.101847365	-0.017807256	-0.050506826	7.282622	0.018766038	0.23925	11.0	146.16819977760315
8	2.9033494	1.531613	6.17347	0.6468783	200.0	0.248358	0.43919858	2.9594347	-0.30133274	36000	-2.0503998e-08	0.15924354	-0.013116026	-0.06417311	7.3268175	0.020449806	0.2135	6.0	164.55789399147034
9	4.0584817	1.6080812	6.788938	1.2117515	200.0	0.29916072	0.4496043	2.7065234	-0.5561017	40000	-3.4332274e-08	0.43340144	-0.01732063	-0.24047992	7.2307544	0.016007172	0.21325	8.0	183.02429342269897
10	3.988664	1.852265	8.678644	1.1617434	200.0	0.5929271	0.6426012	3.4095802	-0.20310229	44000	-7.629395e-09	0.3665888	-0.018031698	-0.18936895	7.276669	0.018003773	0.25225	9.0	201.81599974632263
11	5.043609	3.3420901	12.626331	1.2636943	200.0	0.67698634	0.76013666	3.870803	-0.40762648	48000	1.9073486e-08	0.94401467	-0.011447227	-0.47517362	7.2608066	0.017715013	0.21125	6.0	220.46731162071228
12	4.633117	1.6158243	7.986475	1.5463703	200.0	0.98273206	1.0247662	4.4569235	-0.6853152	52000	5.2452087e-09	0.8407771	-0.023416925	-0.6238842	7.2201505	0.017008068	0.23725	16.0	238.98675894737244
13	4.803878	1.7916377	9.196241	1.8571472	200.0	0.54198873	0.86439383	4.2298517	-1.4498123	56000	-6.6757204e-09	0.48226324	-0.014886748	-0.29960454	7.2189264	0.016868977	0.209	6.0	257.2850410938263
14	4.665548	3.6394699	14.620727	1.1253659	200.0	0.39998993	0.77649444	4.324548	-0.83078223	60000	-7.629395e-09	1.1669582	-0.011911774	-0.71714294	7.244625	0.01770234	0.24625	6.0	275.85979652404785
15	5.8300953	3.0737765	14.042203	0.85793406	200.0	0.77894324	1.5029882	6.8699875	-2.1995301	64000	-3.8146974e-09	2.3105967	-0.015023409	-1.5925944	7.253393	0.014993561	0.22125	8.0	294.4398818016052
16	6.0871744	2.9686713	12.523092	2.2899492	200.0	0.6642973	1.2445554	4.9915404	-2.1555166	68000	-1.9311905e-08	1.1718801	-0.026904609	-0.74180853	7.2303796	0.016049447	0.2975	17.0	313.2999641895294
17	5.886201	2.8074074	13.522024	1.3769598	200.0	0.8101611	1.0345303	5.4745603	-0.8450922	72000	0.0	1.1732234	-0.018134117	-0.74911076	7.2183037	0.016169794	0.209	10.0	331.7078278064728
18	6.476339	3.753413	14.250605	1.6187463	200.0	1.1909814	0.92691016	5.0151305	-0.31204015	76000	-5.1498414e-08	1.4098915	-0.016313555	-0.8033692	7.2010994	0.01851522	0.2	7.0	350.4011375904083
19	7.3179464	3.7326062	14.095464	1.9373552	200.0	1.5588211	1.3651731	6.679283	-0.69104534	80000	-9.059906e-09	2.740895	-0.013258551	-1.5872937	7.198795	0.016765594	0.25275	7.0	368.90202593803406
20	6.526446	3.3583498	13.785177	1.9184543	200.0	1.3045818	1.1817205	6.025801	-0.783282	84000	-7.629395e-09	1.9509294	-0.009830248	-1.2507739	7.265852	0.019791862	0.22	4.0	387.90942573547363
21	7.603887	3.8344777	17.908794	1.0753921	200.0	1.0934852	1.5096731	7.404729	-2.8390644	88000	1.525879e-08	3.8406668	-0.021564864	-2.8085995	7.1569448	0.018942202	0.2185	12.0	406.61251735687256
22	10.658831	6.2466316	26.646036	1.508044	200.0	2.1730332	1.5444965	8.0109625	-1.8004785	92000	-1.1444092e-08	6.126831	-0.017262083	-4.266034	7.2033415	0.019592911	0.251	9.0	425.4696078300476
23	6.83381	4.4030952	19.6951	1.2420309	200.0	1.933646	1.7688557	9.443468	-2.0302782	96000	-2.2888184e-08	2.7946844	-0.05072629	-2.068009	7.149118	0.008228397	0.284	79.0	444.2751021385193
24	7.8319955	4.533378	21.533329	2.252697	200.0	1.6005816	1.1254885	6.3250437	-0.84282315	100000	2.8610229e-08	3.2436059	-0.01901311	-1.9614291	7.153797	0.017910913	0.179	10.0	463.12485551834106
25	10.268778	6.1472864	25.98218	2.1585205	200.0	2.1778598	1.5088198	9.182667	-0.8211386	104000	-2.2888184e-08	4.369964	-0.022357503	-2.5598836	7.07241	0.01864054	0.22825	13.0	482.28811049461365
26	12.615431	6.5774226	27.48239	3.37697	200.0	2.43242	1.8160543	9.077985	-1.7298763	108000	9.536743e-09	6.1291494	-0.011697435	-4.245282	7.106957	0.014710862	0.201	5.0	501.5699667930603
27	10.931471	5.0735145	21.726427	0.91468585	200.0	2.810174	2.1630511	10.233444	-1.7214067	112000	-1.525879e-08	4.3234735	-0.014652756	-2.7665343	7.097314	0.016382467	0.2025	7.0	520.4499607086182
28	9.532128	4.4562836	20.266457	3.0784564	200.0	2.461587	1.9178689	8.299524	-1.4706981	116000	1.4781952e-08	2.602554	-0.017187145	-1.5683753	7.123748	0.016748745	0.237	9.0	539.2740950584412
29	15.4880905	13.5669565	61.238644	1.9790466	200.0	2.2809424	2.1950674	8.440724	-3.0192842	120000	0.0	24.98634	-0.01823557	-18.70664	7.007779	0.019158863	0.215	10.0	558.2704548835754
30	15.871531	10.17909	42.553894	2.3036828	200.0	4.3480263	3.604536	16.374651	-1.0425475	124000	-2.6702882e-08	12.942311	-0.02006887	-9.335747	7.0516467	0.018419767	0.2355	10.0	577.7391548156738
31	15.19816	8.677427	30.485615	2.171518	200.0	4.9861584	4.5967937	21.243797	-4.241359	128000	7.629395e-09	15.885507	-0.020690933	-11.775064	6.9812484	0.016761392	0.216	11.0	596.8448615074158
32	18.328516	4.789031	26.387192	9.295616	200.0	6.7856374	3.4756389	16.009312	-1.9290615	132000	2.2888184e-08	8.6865225	-0.04728196	-6.657799	7.0042105	0.013585163	0.251	79.0	616.2928862571716
33	23.504929	9.915819	42.136204	7.5539556	200.0	6.0910535	2.4454222	12.84713	0.22813252	136000	5.722046e-09	20.502054	-0.013908632	-12.830232	6.95388	0.012761697	0.1185	5.0	635.8443446159363
34	21.360508	9.2001295	44.34506	2.1889267	200.0	7.4187	3.4408247	14.485856	-0.94064605	140000	6.6757204e-09	20.744831	-0.01397202	-13.375021	6.930849	0.018185558	0.213	6.0	655.257807970047
35	24.684433	6.8180804	37.07908	12.554358	200.0	7.6385403	2.4697945	16.793074	1.1256293	144000	1.1444092e-08	14.704346	-0.012016039	-9.716091	6.984597	0.016604664	0.197	4.0	674.8075637817383
36	20.876213	12.811157	55.143543	4.120947	200.0	8.67684	3.1809468	15.369982	-0.8976939	148000	-4.196167e-08	20.574554	-0.012550762	-13.292009	6.940781	0.013414807	0.18475	4.0	693.969818353653
37	25.24631	8.8411665	39.489586	4.3328767	200.0	8.79858	2.6808865	17.495092	2.0484972	152000	-5.722046e-09	16.162197	-0.016869899	-10.001558	6.903463	0.0157458	0.18425	8.0	713.2467019557953
38	23.511187	9.173698	46.514965	11.259562	200.0	10.024083	2.897468	16.213228	-0.3890433	156000	1.6212464e-08	15.806747	-0.024120847	-10.378767	6.912504	0.0184151	0.25175	11.0	732.7331833839417
39	30.44692	12.384795	57.01027	3.2890084	200.0	11.284482	3.3437076	19.35546	0.72115594	160000	2.3841857e-09	31.14057	-0.019354036	-19.761814	6.8820434	0.017155224	0.2035	10.0	752.3251056671143
40	28.257412	10.781478	46.92334	7.756718	200.0	13.157309	3.9600096	22.1727	-2.1527507	164000	-1.1444092e-08	30.416899	-0.014284263	-22.330788	6.893419	0.018202946	0.188	7.0	772.0135941505432
41	33.55748	11.625601	50.292076	5.6367536	200.0	14.609621	4.305207	24.298008	-2.8656085	168000	-1.3351441e-08	26.125298	-0.025001058	-15.839863	6.958809	0.016215323	0.252	13.0	791.4599666595459
42	32.471058	13.900708	61.036804	4.4509363	200.0	15.748138	4.3165836	25.709522	1.1139567	172000	1.1444092e-08	42.07838	-0.023512881	-26.516382	6.94589	0.018692981	0.24525	14.0	811.1864213943481
43	40.463608	8.149564	58.820553	25.718649	200.0	16.64802	3.6541336	25.97138	5.984207	176000	0.0	24.144438	-0.011469109	-15.85816	6.8876796	0.015975995	0.19	4.0	830.7814059257507
44	37.276787	15.832553	62.370213	12.42212	200.0	17.26712	4.6685	26.294361	5.4752393	180000	1.1444092e-08	29.162012	-0.025669515	-16.71178	6.910325	0.015696436	0.224	16.0	850.6800849437714
45	49.656776	13.710042	68.56979	8.754224	200.0	20.223074	4.708144	29.11335	2.2117546	184000	-2.6702882e-08	41.23273	-0.028421758	-27.461813	6.9411387	0.015294987	0.21625	21.0	870.4399197101593
46	46.82126	12.562044	73.395996	20.98488	200.0	19.439013	5.6570563	31.817547	4.6178904	188000	1.2397766e-08	27.528086	-0.022303818	-15.212783	6.8234715	0.015232813	0.2255	13.0	890.2687773704529
47	50.42659	13.974316	80.75456	29.372177	200.0	22.9337	3.2713604	32.153393	9.880556	192000	2.0980835e-08	34.28287	-0.02055972	-20.767189	6.8612814	0.014347061	0.24475	13.0	909.9480020999908
48	46.045033	16.03999	71.39219	12.310818	200.0	21.24196	5.465174	33.93058	7.1379437	196000	3.3378602e-09	54.46489	-0.037840888	-34.578644	6.783668	0.013385252	0.20875	79.0	929.8398225307465
49	50.993748	17.054558	84.0931	22.108202	200.0	23.270582	4.0051327	31.9513	10.322865	200000	0.0	43.825348	-0.040713433	-23.331524	6.787863	0.014820326	0.22075	73.0	949.8711085319519
50	52.419872	13.345321	73.88073	17.28681	200.0	22.132902	5.1964226	30.3617	6.000931	204000	-1.3351441e-08	34.33909	-0.0109448945	-24.864258	6.7325315	0.015890636	0.18675	4.0	970.0221297740936
51	53.17169	16.713402	82.15106	22.610052	200.0	25.266497	3.779211	35.238724	13.183876	208000	-1.1444092e-08	68.607086	-0.007898882	-44.970055	6.7211394	0.013845089	0.161	4.0	990.0720522403717
52	56.75465	16.450935	79.31106	10.31114	200.0	25.450993	5.0678434	36.718357	8.5364895	212000	-1.3351441e-08	39.33607	-0.021316305	-22.109056	6.753584	0.014742794	0.21425	15.0	1010.1076874732971
53	58.024952	15.252755	88.64322	28.330927	200.0	27.690992	3.6093855	37.49995	11.9546385	216000	1.9073487e-09	40.202812	-0.043665394	-23.810776	6.670397	0.01329073	0.23425	79.0	1030.3940925598145
54	57.726562	16.05677	97.24704	33.71934	200.0	28.130596	4.457645	35.01786	14.806261	220000	2.5749207e-08	28.291342	-0.024762861	-12.955137	6.644585	0.015472179	0.17225	30.0	1050.3869524002075
55	64.88179	21.380346	106.939766	27.654306	200.0	26.018312	5.5103416	35.772533	9.857758	224000	-1.9073487e-09	63.84878	-0.011968085	-37.23205	6.659594	0.013016271	0.146	4.0	1070.6787295341492
56	57.28396	19.771452	91.51191	23.992094	200.0	29.647064	7.6959934	43.036514	0.461223	228000	-7.629395e-09	57.26853	-0.038715653	-37.042046	6.5672727	0.015082332	0.24	75.0	1091.0933544635773
57	69.34526	12.174854	95.861374	51.773426	200.0	26.75278	7.084901	39.2265	8.427017	232000	2.6702882e-08	61.402493	-0.020756042	-46.04236	6.5625467	0.01597257	0.19375	12.0	1111.3421983718872
58	60.82494	20.0403	98.35442	29.132504	200.0	30.469492	7.727663	41.186047	7.4742765	236000	-3.8146974e-09	51.69597	-0.01813612	-28.753336	6.5967336	0.015487865	0.1845	11.0	1131.5975742340088
59	64.39427	23.338852	100.50484	26.54787	200.0	28.675327	7.4103384	42.422924	7.460158	240000	-3.3378602e-09	59.149277	-0.019221863	-33.268837	6.6017585	0.016402056	0.21525	13.0	1151.98907995224
60	74.71983	17.033298	106.01915	46.81002	200.0	33.460247	6.562598	45.816475	14.148892	244000	7.629395e-09	65.865555	-0.022860542	-40.038773	6.5374727	0.016564395	0.18725	17.0	1172.6342034339905
61	59.760826	19.33623	95.99251	20.99564	200.0	33.300037	7.404473	48.417824	7.907139	248000	-1.525879e-08	71.65728	-0.027632955	-46.290966	6.5081124	0.015358938	0.229	22.0	1192.9075818061829
62	74.57678	17.449175	99.354866	41.79315	200.0	31.400114	7.8386536	44.414894	8.338743	252000	3.3259393e-08	63.636086	-0.0067461585	-39.62845	6.4480915	0.019594505	0.23625	3.0	1213.1776025295258
63	64.00006	21.453781	99.45088	23.895855	200.0	31.602964	7.613234	46.962574	8.669402	256000	-1.0490417e-08	63.69975	-0.022645906	-44.40458	6.466889	0.016221525	0.1975	18.0	1233.5026106834412
64	61.582928	18.70714	94.105354	25.450195	200.0	30.26962	7.541528	47.43225	9.631126	260000	1.9073486e-08	33.768333	-0.011428131	-20.571404	6.479404	0.015488598	0.17975	7.0	1254.033769607544
65	70.7942	17.179735	102.68942	27.606361	200.0	33.75612	6.1463842	49.18462	12.252781	264000	-1.2397766e-08	44.24722	-0.012021103	-27.532295	6.4623346	0.011115588	0.1875	4.0	1274.598494052887
66	79.06601	23.664534	103.649254	4.433007	200.0	33.496796	8.2981615	48.088844	3.7787569	268000	2.2888184e-08	77.3429	-0.019221911	-55.992935	6.470801	0.018910741	0.22625	14.0	1295.2437040805817
67	74.47294	16.056574	98.783714	48.87603	200.0	38.006607	6.6829457	48.2632	17.128624	272000	2.2888184e-08	46.885117	-0.025565716	-25.880718	6.469683	0.016336005	0.16675	24.0	1315.5190348625183
68	73.71772	15.23979	107.62199	45.504513	200.0	37.833267	6.077439	47.22006	14.808376	276000	-1.525879e-08	35.658657	-0.037486564	-19.334583	6.4554462	0.011755167	0.2225	79.0	1335.9916660785675
69	71.0515	21.625196	109.30563	34.16363	200.0	34.81698	5.7137394	46.62172	17.766777	280000	3.8146974e-09	47.272327	-0.03500336	-28.173592	6.4145255	0.014990068	0.20675	63.0	1356.639920949936
70	70.52076	17.009167	94.63992	39.557053	200.0	32.807224	7.7027907	48.823555	9.565834	284000	-2.6702882e-08	38.79104	-0.034871876	-20.654331	6.3573728	0.015035218	0.203	59.0	1377.4238648414612
71	76.63786	19.4814	108.49878	41.63003	200.0	35.446598	6.36604	46.90053	15.749704	288000	-5.722046e-09	48.15742	-0.018150572	-24.204105	6.32612	0.014139765	0.191	12.0	1397.9924502372742
72	75.66317	28.243734	117.45013	2.7022796	200.0	33.326336	9.678509	48.185036	1.8568587	292000	-1.66893e-08	55.123566	-0.011352655	-20.709103	6.33738	0.01698802	0.15125	5.0	1418.5212688446045
73	73.56153	26.23386	135.35226	27.270212	200.0	35.348488	8.79527	49.584404	14.289813	296000	-3.8146974e-09	93.011505	-0.0031512375	-59.289227	6.3253694	0.021580834	0.26825	2.0	1439.2532014846802
74	80.7448	23.562462	132.57753	36.199413	200.0	39.1465	9.824464	55.776634	12.5609	300000	-3.051758e-08	83.17386	-0.007934602	-49.671703	6.3419695	0.01797969	0.20625	3.0	1459.9183456897736
75	77.71073	23.989826	118.94187	26.371887	200.0	39.682056	9.158113	57.74095	16.322886	304000	-2.4795533e-08	59.25247	-0.040152658	-37.997066	6.363	0.013451174	0.23375	79.0	1480.4793167114258
76	80.89394	17.802456	115.15251	46.524185	200.0	40.13728	6.0648394	54.78314	21.083395	308000	-1.4305114e-08	52.558586	-0.040207196	-34.29701	6.3015523	0.007851396	0.2	79.0	1501.3877592086792
77	91.90697	13.080011	117.75379	69.95408	200.0	40.72221	6.1599617	52.614487	21.667767	312000	1.525879e-08	48.49345	-0.019044809	-30.933853	6.306324	0.016492443	0.2205	11.0	1522.161752462387
78	77.23817	27.331715	135.3671	31.939274	200.0	39.89929	9.962589	55.33776	18.15497	316000	1.525879e-08	61.696793	-0.02367959	-35.713905	6.2290072	0.015830774	0.183	16.0	1542.731526374817
79	88.22926	20.1629	121.69821	51.224148	200.0	40.38267	7.2584066	57.55217	16.828459	320000	2.861023e-09	65.27469	-0.03838733	-43.209087	6.2785	0.009944967	0.23225	79.0	1563.6173655986786
