# {"t_start": 1545431934.8073049, "env_id": null} 
r,l,t
0.212911,1000,2.149951
8.837828,1000,3.297002
0.88213,1000,4.375236
1.153412,1000,5.477165
1.588139,1000,6.579595
0.432877,1000,7.679596
4.135583,1000,8.748353
0.591498,1000,9.858525
0.141238,1000,10.96127
0.347659,1000,12.021257
0.397912,1000,13.136447
0.348413,1000,14.204243
0.339723,1000,15.300814
0.563363,1000,16.385761
0.142737,1000,17.47233
1.962477,1000,18.606501
0.193061,1000,19.656876
1.106966,1000,20.729999
0.710633,1000,21.858916
1.104066,1000,22.96174
0.260735,1000,24.066719
0.320071,1000,25.147963
4.425544,1000,26.234685
0.149255,1000,27.338055
1.072612,1000,28.435096
0.585675,1000,29.54092
14.017363,1000,30.645301
1.348437,1000,31.757307
0.336002,1000,32.848209
2.058023,1000,33.936046
4.950758,1000,35.040897
1.466513,1000,36.13983
0.373598,1000,37.257641
4.58376,1000,38.385514
3.212085,1000,39.497561
1.696823,1000,40.554597
8.325375,1000,41.654865
16.042804,1000,42.745233
8.58635,1000,43.879717
4.186223,1000,44.990678
1.479223,1000,46.077532
17.106771,1000,47.184015
2.286463,1000,48.283827
0.996117,1000,49.365969
0.669538,1000,50.439157
5.854954,1000,51.54328
4.179293,1000,52.680023
10.445867,1000,53.792004
7.290022,1000,54.918509
3.438073,1000,55.980286
1.239842,1000,57.041317
3.119184,1000,58.148316
6.079366,1000,59.254942
0.794694,1000,60.358104
5.131753,1000,61.472871
17.233968,1000,62.528136
3.799729,1000,63.658792
6.379098,1000,64.733692
4.926597,1000,65.860762
3.799542,1000,66.973976
10.004306,1000,68.062691
18.620173,1000,69.153646
2.845901,1000,70.275292
2.372334,1000,71.409689
0.612862,1000,72.499377
19.817219,1000,73.558715
7.065158,1000,74.663867
1.859921,1000,75.740908
1.17603,1000,76.858004
16.489315,1000,78.00905
15.131582,1000,79.115261
14.296437,1000,80.235201
5.715567,1000,81.304253
1.397738,1000,82.404135
39.341815,1000,83.509368
38.349498,1000,84.638234
3.629728,1000,85.772645
12.038215,1000,86.930128
8.794887,1000,88.047077
5.176505,1000,89.172482
11.630441,1000,90.307311
2.630584,1000,91.426792
18.954339,1000,92.548595
5.566024,1000,93.678662
26.539122,1000,94.840851
7.543583,1000,95.968621
5.410327,1000,97.073051
23.472002,1000,98.202877
16.053911,1000,99.339924
11.909285,1000,100.498998
41.640815,1000,101.622286
8.326791,1000,102.7734
0.885512,1000,103.913076
26.511099,1000,105.063927
1.230379,1000,106.205695
13.050555,1000,107.35277
8.40119,1000,108.45925
6.398376,1000,109.556957
1.515301,1000,110.688532
16.360521,1000,111.845628
6.194342,1000,112.955626
12.086817,1000,114.111142
1.507856,1000,115.286129
1.064553,1000,116.454161
30.797715,1000,117.572803
2.348428,1000,118.678056
1.579886,1000,119.81552
23.992578,1000,120.950089
22.273836,1000,122.067146
15.82528,1000,123.168656
21.353236,1000,124.30899
15.621474,1000,125.468645
7.555056,1000,126.608835
58.260232,1000,127.755944
15.195152,1000,128.925532
50.135278,1000,130.03275
40.294028,1000,131.172817
28.648373,1000,132.278899
26.313403,1000,133.397811
21.20197,1000,134.522858
4.948872,1000,135.643095
47.223635,1000,136.770324
40.019278,1000,137.880858
1.588478,1000,139.003141
39.195587,1000,140.102452
17.401654,1000,141.199385
11.631081,1000,142.337184
19.020118,1000,143.459724
28.940248,1000,144.55712
19.678597,1000,145.658002
90.961146,1000,146.777078
39.85757,1000,147.90695
14.459017,1000,149.038759
36.925717,1000,150.136485
9.772424,1000,151.26203
123.754948,1000,152.407181
98.540113,1000,153.523211
61.867782,1000,154.645199
27.83856,1000,155.754128
7.535219,1000,156.890221
38.505214,1000,158.0166
17.364883,1000,159.105657
10.238424,1000,160.203083
40.798565,1000,161.311443
32.76494,1000,162.419081
54.59469,1000,163.52756
47.616618,1000,164.652126
54.748087,1000,165.772811
52.545718,1000,166.852736
73.015966,1000,167.981959
10.656227,1000,169.026299
50.252447,1000,170.16184
74.0018,1000,171.265045
12.795601,1000,172.348505
143.851399,1000,173.468788
11.609794,1000,174.509983
12.499866,1000,175.59594
14.937453,1000,176.674515
11.553764,1000,177.779176
32.259464,1000,178.88247
12.893107,1000,179.987169
27.832875,1000,181.074376
12.820047,1000,182.15322
18.034428,1000,183.262621
11.47919,1000,184.366108
13.489752,1000,185.48853
16.650971,1000,186.618331
122.741586,1000,187.740289
105.554334,1000,188.859775
38.776845,1000,189.969039
153.553638,1000,191.075639
11.082205,1000,192.174051
25.405326,1000,193.252712
73.522353,1000,194.353689
35.689737,1000,195.477602
59.646726,1000,196.550563
14.515504,1000,197.621564
14.819751,1000,198.69095
27.911337,1000,199.8072
93.088129,1000,200.876786
79.814814,1000,201.980178
93.59109,1000,203.070672
34.420505,1000,204.150457
28.765867,1000,205.262851
144.092677,1000,206.398137
59.041211,1000,207.516684
14.140399,1000,208.614575
53.557825,1000,209.739346
167.649837,1000,210.831729
35.135128,1000,211.959106
27.986409,1000,213.045904
21.575352,1000,214.16367
45.496837,1000,215.220847
186.848291,1000,216.297063
102.2438,1000,217.420502
18.315715,1000,218.525785
199.95421,1000,219.646664
21.101881,1000,220.733748
123.050229,1000,221.862908
156.641192,1000,222.982767
22.450185,1000,224.105802
107.283062,1000,225.199053
153.422455,1000,226.287705
31.743877,1000,227.384537
117.67147,1000,228.466013
22.470558,1000,229.586456
