# {"t_start": 1545445904.3468816, "env_id": null} 
r,l,t
1.778896,1000,2.117718
1.646373,1000,3.249918
2.820514,1000,4.333308
0.664654,1000,5.41162
0.760863,1000,6.495564
0.072093,1000,7.605635
1.872157,1000,8.68081
0.157615,1000,9.774046
0.194018,1000,10.868021
3.902231,1000,11.979194
0.165907,1000,13.085437
0.74621,1000,14.177998
0.32713,1000,15.2709
19.946301,1000,16.372965
0.201359,1000,17.426475
1.145132,1000,18.515857
0.111673,1000,19.659095
0.420839,1000,20.752016
1.823247,1000,21.867344
3.237883,1000,23.005894
0.230353,1000,24.124638
0.693399,1000,25.243702
0.550222,1000,26.372596
1.266875,1000,27.520447
0.914192,1000,28.614729
0.099846,1000,29.70572
1.937316,1000,30.820694
1.214717,1000,31.9325
1.900414,1000,33.080865
2.761215,1000,34.229508
0.154001,1000,35.390158
3.273035,1000,36.490856
0.865345,1000,37.563709
2.760381,1000,38.656142
2.31293,1000,39.739981
1.995458,1000,40.80825
0.69717,1000,41.897918
0.524671,1000,43.011784
3.509683,1000,44.128748
1.641432,1000,45.241584
6.049392,1000,46.534988
3.993329,1000,47.663081
34.720066,1000,48.747363
0.357718,1000,49.823908
37.948708,1000,50.903266
2.562189,1000,51.979188
3.883019,1000,53.053094
44.214633,1000,54.136117
2.734705,1000,55.270611
20.99538,1000,56.371429
24.205552,1000,57.469873
3.270708,1000,58.566877
7.428045,1000,59.644309
7.79753,1000,60.746173
13.940821,1000,61.843803
10.297316,1000,62.918647
57.429422,1000,64.03534
17.53361,1000,65.114313
15.490526,1000,66.190539
13.357108,1000,67.277596
11.038394,1000,68.379002
27.43508,1000,69.507872
11.571102,1000,70.571144
25.108596,1000,71.63753
27.690205,1000,72.74066
15.70296,1000,73.864088
16.174257,1000,74.967331
26.781991,1000,76.095232
14.923152,1000,77.205516
35.759735,1000,78.328596
15.021776,1000,79.603382
5.69038,1000,80.705368
22.040327,1000,81.840482
13.920607,1000,82.881826
16.140005,1000,84.011401
21.149947,1000,85.068196
13.203732,1000,86.183333
24.654749,1000,87.335216
53.682207,1000,88.504825
16.437151,1000,89.629281
31.674029,1000,90.703436
6.315945,1000,91.76704
22.387342,1000,92.835783
11.266856,1000,93.933161
6.339513,1000,95.040342
17.130786,1000,96.160798
3.811963,1000,97.295912
32.468658,1000,98.477617
96.602809,1000,99.666645
3.482017,1000,100.772489
3.33182,1000,101.841012
47.053963,1000,102.928412
1.28707,1000,104.051703
41.797834,1000,105.111777
17.572678,1000,106.253564
26.067582,1000,107.352714
101.197922,1000,108.508384
1.330268,1000,109.626757
5.018656,1000,110.71664
61.424361,1000,111.851083
30.47547,1000,112.928261
4.303477,1000,114.042494
22.994926,1000,115.175501
24.517394,1000,116.317946
17.613048,1000,117.446864
43.156092,1000,118.54203
6.455772,1000,119.614134
14.475084,1000,120.704635
10.12655,1000,121.799931
8.459163,1000,122.90558
11.77025,1000,123.964626
26.797706,1000,125.098529
10.178608,1000,126.274633
14.836917,1000,127.430492
9.304228,1000,128.582375
10.723039,1000,129.746399
7.330207,1000,130.91051
20.412867,1000,132.031243
12.583572,1000,133.138198
13.785989,1000,134.244971
16.305937,1000,135.335859
9.835405,1000,136.425805
22.256752,1000,137.474874
14.766765,1000,138.556601
65.30167,1000,139.689013
20.282613,1000,140.829339
11.030556,1000,141.964272
18.449678,1000,143.116343
11.594172,1000,144.277765
23.643739,1000,145.422734
48.187664,1000,146.572137
40.858906,1000,147.708534
7.812344,1000,148.853711
42.416486,1000,149.986023
15.799937,1000,151.084469
27.979607,1000,152.201559
37.099147,1000,153.314497
55.78126,1000,154.413779
14.860455,1000,155.511077
72.972232,1000,156.580776
29.393966,1000,157.631767
21.978103,1000,158.720357
41.953452,1000,159.857591
14.322464,1000,160.953094
41.631302,1000,162.085428
103.058042,1000,163.21515
94.791228,1000,164.334127
32.190755,1000,165.486302
16.71335,1000,166.617784
43.023568,1000,167.754626
97.694264,1000,168.884932
98.241854,1000,170.007484
12.231951,1000,171.057804
18.887411,1000,172.143241
75.835424,1000,173.204822
16.763973,1000,174.369646
92.534206,1000,175.542786
53.411367,1000,176.687451
47.568603,1000,177.839718
120.319406,1000,179.012127
19.338189,1000,180.196262
72.954734,1000,181.351033
95.456993,1000,182.525531
13.004567,1000,183.681244
52.649215,1000,184.847723
61.463588,1000,186.01228
9.909715,1000,187.128808
11.73181,1000,188.195409
43.481224,1000,189.272207
59.341777,1000,190.354826
54.899499,1000,191.497451
67.83856,1000,192.589893
68.848731,1000,193.728808
28.60168,1000,194.858662
9.653458,1000,195.954516
23.758676,1000,197.068774
79.332036,1000,198.236036
15.962573,1000,199.403502
101.972495,1000,200.544645
11.789701,1000,201.704865
43.23065,1000,202.809646
86.748182,1000,203.935442
153.523541,1000,205.050014
42.778845,1000,206.164032
84.038882,1000,207.291438
220.21884,1000,208.397549
84.533682,1000,209.524647
2.83418,1000,210.656511
22.894687,1000,211.792993
142.186197,1000,212.912256
31.374541,1000,214.046074
103.092158,1000,215.150124
124.819762,1000,216.264481
80.039452,1000,217.361231
20.34438,1000,218.461401
74.951894,1000,219.574615
73.845437,1000,220.701163
155.019202,1000,221.803868
45.405518,1000,222.897013
145.13661,1000,223.984053
51.665877,1000,225.096314
97.01099,1000,226.208918
104.572862,1000,227.321662
180.272994,1000,228.449956
137.759199,1000,229.624317
28.189321,1000,230.747664
10.811971,1000,231.878212
100.026546,1000,233.024359
68.495632,1000,234.145147
9.265445,1000,235.208267
38.76607,1000,236.27863
97.506206,1000,237.41046
127.600845,1000,238.529476
12.75382,1000,239.643692
81.166077,1000,240.765511
86.262718,1000,241.87923
13.498444,1000,243.010194
61.466371,1000,244.146108
233.884041,1000,245.288473
9.953644,1000,246.411083
120.358363,1000,247.569392
88.800925,1000,248.717042
76.690691,1000,249.913089
95.910523,1000,251.057535
63.157669,1000,252.233404
116.327078,1000,253.373464
8.45289,1000,254.502936
161.823412,1000,255.655202
79.907291,1000,256.806336
66.068651,1000,257.94345
235.871946,1000,259.084903
42.965111,1000,260.197487
8.611995,1000,261.337164
25.671135,1000,262.476564
29.968377,1000,263.612957
68.268419,1000,264.760191
26.600644,1000,265.85555
39.81029,1000,266.947137
51.284853,1000,267.991702
27.376678,1000,269.068048
122.466823,1000,270.156512
141.732798,1000,271.264764
36.529166,1000,272.432214
80.806474,1000,273.570748
59.33714,1000,274.707222
61.76235,1000,275.817038
95.836493,1000,276.880598
49.29566,1000,277.957386
48.516896,1000,279.006085
61.976351,1000,280.065346
15.802761,1000,281.126142
42.00057,1000,282.23566
43.963701,1000,283.291125
108.517278,1000,284.344902
8.065903,1000,285.408017
147.211926,1000,286.478028
41.882035,1000,287.551307
92.493658,1000,288.673303
6.955825,1000,289.76493
11.80531,1000,290.874438
12.158454,1000,291.952411
45.862819,1000,293.0783
27.010412,1000,294.197516
45.598598,1000,295.318027
35.132124,1000,296.453209
53.477468,1000,297.598935
