Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.6582408	0.16953455	0.9339845	0.47859344	1000.0	0.0070766946	0.27920926	0.7265612	-0.5766103	4000	-2.6702882e-08	0.05445231	-0.03509686	-0.052582875	8.267248	0.012805137	0.207	79.0	4.251452445983887
1	0.5671145	0.45699495	1.3457962	0.18505825	1000.0	0.091755286	0.10531055	0.282038	-0.089924395	8000	-2.861023e-09	0.016039593	-0.03106719	-0.013667889	8.204311	0.013128881	0.222	79.0	7.984135150909424
2	0.7582118	0.6581389	1.8013914	0.13351431	1000.0	0.04619409	0.06722088	0.26194972	-0.093895204	12000	4.053116e-09	0.012508529	-0.013535278	-0.008898929	8.098689	0.015598024	0.1395	7.0	11.483319520950317
3	1.2475948	0.28320667	1.7252765	1.0156411	1000.0	0.15048872	0.16245352	0.45449528	-1.0002477	16000	2.002716e-08	0.022908416	-0.030440109	-0.021345796	8.0828085	0.015282028	0.20375	36.0	15.107260942459106
4	0.74454343	0.49764636	1.5184083	0.1675025	1000.0	0.16765475	0.15845513	0.555934	-0.037514735	20000	-9.536743e-09	0.013930634	-0.032190237	-0.011616455	8.060559	0.0052642715	0.1995	79.0	18.665353536605835
5	0.7822193	0.28398472	1.0775127	0.38816676	1000.0	0.10674031	0.12736104	0.51859945	-0.048909307	24000	-2.193451e-08	0.0051583187	-0.021122953	-0.0043199505	8.029102	0.0150336195	0.21575	11.0	22.574150323867798
6	1.3557303	1.0159304	2.5736814	0.107391655	1000.0	0.13060635	0.1124807	0.44213519	-0.15793113	28000	1.6212464e-08	0.021901248	-0.011885698	-0.016447978	8.0280695	0.016929612	0.1585	9.0	26.385285139083862
7	0.97211796	0.4991478	1.609176	0.47377127	1000.0	0.14109442	0.1738491	0.70865846	-0.06741696	32000	7.629395e-09	0.0036822243	-0.010765041	-0.0028586937	8.131807	0.016599702	0.19675	5.0	30.18025279045105
8	1.4512159	1.6310261	4.26023	0.26883492	1000.0	0.16839154	0.19078054	0.8858571	-0.047374714	36000	2.002716e-08	0.06676547	-0.01372355	-0.058020446	8.088197	0.0154270595	0.212	19.0	33.607396364212036
9	1.5682957	1.3777757	3.433835	0.09697391	1000.0	0.1945025	0.27177992	1.3633806	-0.5716273	40000	3.4332274e-08	0.053160965	-0.025540905	-0.045738924	8.032259	0.016051074	0.2025	23.0	37.08581519126892
10	4.9493995	6.4194264	16.032232	0.41478363	1000.0	0.26196718	0.3718062	1.6937922	-0.1178943	44000	2.6702882e-08	2.25966	-0.005357295	-2.045363	8.066507	0.024219237	0.2915	4.0	40.89339828491211
11	4.5497465	3.3502276	8.978086	0.2986064	1000.0	-0.16106962	0.94121426	5.371936	-2.0624223	48000	-2.1219254e-08	2.4412272	-0.013684633	-2.320593	8.016157	0.015003446	0.1985	16.0	44.605067014694214
12	1.7856835	2.1187809	5.3645325	0.20603988	1000.0	-0.12287909	0.32763293	2.2534845	-1.3249325	52000	1.9073487e-09	0.27318978	-0.0336708	-0.19736932	8.032489	0.01481848	0.194	62.0	48.09960651397705
13	0.9578164	0.61516786	1.734919	0.1131018	1000.0	0.14248206	0.4068421	2.3459506	-1.0953358	56000	-5.2452087e-09	0.1655496	-0.009533416	-0.15928836	8.019392	0.015641658	0.1985	4.0	51.537452936172485
14	1.4419345	1.2209598	3.4360526	0.41980982	1000.0	0.09463919	0.12917855	0.9893055	-0.33686858	60000	-3.33786e-08	0.11791686	-0.008291575	-0.09638546	8.04865	0.01200818	0.14175	4.0	54.975937604904175
15	0.4098242	0.20367919	0.69034255	0.16660886	1000.0	0.03527722	0.36818376	4.0637703	-1.9925822	64000	1.9073486e-08	0.12342646	-0.020912223	-0.11636202	8.082015	0.016230248	0.24575	14.0	58.70254969596863
16	10.939698	10.979014	26.520205	0.45294365	1000.0	0.1777978	0.24848293	1.7168362	-0.13942865	68000	2.2888184e-08	8.407424	-0.007940087	-7.341835	8.039245	0.018276248	0.172	9.0	62.186909198760986
17	13.897526	10.365706	28.570765	3.9069257	1000.0	1.2936311	2.8603442	13.555142	-0.14176022	72000	-1.7166137e-08	5.3420815	-0.005551632	-3.5365453	7.9927406	0.015162531	0.2515	4.0	65.61707019805908
18	1.1551938	0.8908341	2.533212	0.22606	1000.0	2.6523447	4.280324	14.993981	0.022552785	76000	-4.9591065e-08	23.793774	-0.023538044	-23.744305	8.049467	0.0052772886	0.17025	79.0	69.24161076545715
19	4.077979	4.9082274	12.504774	0.32128602	1000.0	0.086534284	0.15777613	1.5362294	-1.5923454	80000	-9.536743e-09	1.3972192	-0.009990841	-0.9707208	8.05632	0.015274562	0.203	6.0	72.9118480682373
20	1.8706813	1.4917948	3.3935719	0.1495182	1000.0	0.65716344	1.3044646	7.3139	0.06265299	84000	-6.6757204e-09	1.5761956	-0.020927925	-1.489331	7.9833	0.0010230473	0.207	79.0	76.60218977928162
21	4.139995	2.2207386	6.2746067	0.9467706	1000.0	0.1957271	0.22240762	1.2918663	-0.06730967	88000	-3.051758e-08	0.44988623	-0.011566654	-0.2816932	8.040693	0.0188896	0.21425	10.0	80.01559543609619
22	4.2561994	2.8027947	8.76501	1.6571664	1000.0	0.35718992	0.5130001	2.5839357	0.015067078	92000	-1.9073486e-08	0.34363317	-0.008695154	-0.116111666	8.0153885	0.020827178	0.19375	10.0	83.56276178359985
23	4.5237327	3.2496755	9.2170515	1.0094241	1000.0	0.39231452	0.4668938	2.9685478	0.03954298	96000	-2.8610229e-08	0.5600362	-0.010232843	-0.182271	7.971784	0.020799974	0.2495	10.0	87.56934022903442
24	2.95792	1.8531954	5.7992187	0.77433723	1000.0	0.42044896	0.69023365	4.1512775	0.01459647	100000	1.525879e-08	0.39464998	-0.029385088	-0.22183533	8.001367	0.0060277428	0.25125	79.0	91.5222373008728
25	4.4271417	3.5272024	10.5032	1.8848916	1000.0	0.3397109	0.43422395	2.6186917	-0.0335252	104000	-1.3351441e-08	0.61864644	-0.013329134	-0.18155128	7.922084	0.017875558	0.20525	15.0	94.94984984397888
26	7.5010395	5.138984	13.655715	2.1074984	1000.0	0.50016314	0.7353652	3.71955	0.06886363	108000	-1.4305115e-09	1.730227	-0.011587494	-0.68752897	7.9640293	0.0151776	0.15225	13.0	98.65632390975952
27	5.3220367	5.0943274	12.892139	0.36545485	1000.0	0.7094116	1.0031303	4.496717	0.01155813	112000	-1.9073486e-08	1.0863564	-0.010419879	-0.79454553	7.923295	0.01649018	0.19875	11.0	102.21276187896729
28	11.144691	6.2793903	18.776144	1.3261231	1000.0	0.9818311	1.5354598	6.9232492	0.0058786795	116000	-3.4332274e-08	2.016498	-0.013847576	-1.3205225	7.9831243	0.018233655	0.21	16.0	105.94605112075806
29	3.6987357	1.6477042	5.7435884	1.7112069	1000.0	0.8893307	1.6137666	9.089854	-0.40336823	120000	-2.3841858e-08	1.6005815	-0.028196486	-1.5407945	7.973054	0.00468246	0.20625	79.0	109.48957467079163
30	6.678871	3.792303	10.603768	2.8702412	1000.0	0.43339977	0.6210502	3.3607755	-0.032453045	124000	0.0	1.0777214	-0.016900219	-0.47983003	7.9114265	0.01567797	0.18325	26.0	113.49993109703064
31	3.5699422	2.827223	8.051829	0.49084154	1000.0	0.6258175	1.0083629	4.8209667	-0.007818036	128000	-5.9127807e-08	0.5771864	-0.03027438	-0.42395335	7.9154253	0.00592678	0.19725	79.0	117.26654195785522
32	1.4932313	1.1496198	3.3757453	0.33748746	1000.0	0.2966396	0.5124063	2.972609	-0.065408364	132000	-6.198883e-09	0.1645585	-0.032523453	-0.15009125	7.944247	0.00618662	0.2	79.0	120.80124020576477
33	1.1197113	0.7948433	2.2921338	0.10375994	1000.0	0.20770873	0.3471996	2.092261	-0.24289551	136000	1.5497207e-08	0.10161073	-0.02989297	-0.08619111	7.976571	0.008258629	0.2315	79.0	124.51971697807312
