Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	0.1632544	0.5372946	2.7825427	0.0044942074	0.019565228	1.8626451e-09	0.01956523	0.01956523	200.0	200.0	5000	202.91634	360.1497	1874.6343	-0.87391007	202.91678	360.15073	1881.163	-0.86036134	281.88068	501.65933	2621.705	-3.8348923	2.7844822	8.555537	67.271034	-15.817575	-282.2853	1.2057471	1.1454831	5.875388	25.130897283554077
2	0.060467903	0.06822672	0.25085035	0.005887954	0.0099801	9.313226e-10	0.009980101	0.009980101	200.0	200.0	10000	2116771.5	4417028.0	25577088.0	1494.676	2116792.0	4417071.0	25581906.0	1495.2521	3155919.0	6523669.5	37442390.0	2119.3628	72.033226	38.06783	206.53491	3.5048504	-3183450.5	230528750.0	227715470.0	17704622000.0	47.85903191566467
3	0.034991793	0.027826859	0.10444574	0.0068422346	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	15000	318643360.0	215672860.0	1041710100.0	14551351.0	318682140.0	215689740.0	1041286900.0	14578656.0	353943940.0	228514580.0	1214186400.0	20596004.0	93.58477	2.2904756	119.35112	53.98076	-453575970.0	54559300000000.0	54727520000000.0	8086271300000000.0	70.49790287017822
4	0.086734235	0.18289201	0.9363358	0.007640706	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	20000	1388738000.0	479606140.0	3098350800.0	296090370.0	1388841100.0	479568260.0	3096848000.0	296414850.0	1472631300.0	505921500.0	3571244500.0	273568830.0	93.56638	2.1221063	97.91427	77.649536	-1980645100.0	1251126000000000.0	1258643900000000.0	1.4303461e+17	93.14783453941345
5	0.04062418	0.056354783	0.29936236	0.0059883324	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	25000	3298443500.0	892271360.0	6689694700.0	588251300.0	3298619600.0	892109060.0	6686335000.0	588752600.0	3455000800.0	943954200.0	7685107000.0	609939700.0	93.5718	2.121208	97.98926	78.08675	-4679083500.0	8214348000000000.0	8272683000000000.0	7.896704e+17	115.81540107727051
6	0.055321887	0.13097861	0.6826398	0.0038207849	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	30000	6272467000.0	1510888300.0	11968309000.0	1052720700.0	6272707600.0	1510519400.0	11962695000.0	1053737540.0	6532201500.0	1600649900.0	13696249000.0	1145872000.0	93.569145	2.1256251	97.99156	73.44407	-8876603000.0	3.1009745e+16	3.1240014e+16	2.8487934e+18	138.4891107082367
7	0.078247264	0.12660065	0.5477958	0.0060665198	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	35000	10506709000.0	2347403300.0	19312382000.0	1734767100.0	10507040000.0	2346648300.0	19307786000.0	1737411200.0	10897240000.0	2490034400.0	21870629000.0	1830832100.0	93.56439	2.1223483	97.9673	76.033005	-14832351000.0	8.532848e+16	8.597762e+16	7.94764e+18	161.28784608840942
8	0.24951123	0.60068065	2.766846	0.0063439435	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	40000	16095886000.0	3472601000.0	31604257000.0	2599080700.0	16096394000.0	3471333000.0	31597800000.0	2603640000.0	16648064000.0	3681015000.0	32795955000.0	2487313400.0	93.56888	2.119005	97.95711	74.67841	-22741246000.0	1.945149e+17	1.9595955e+17	1.8957997e+19	184.07588410377502
9	0.07169616	0.0975928	0.4302575	0.009016226	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	45000	23311227000.0	4943415300.0	44101014000.0	3740714000.0	23312108000.0	4941517000.0	44093452000.0	3748556500.0	24062722000.0	5235373000.0	46230258000.0	3456651800.0	93.567154	2.1192017	97.87915	77.79031	-32910643000.0	3.9458717e+17	3.9742666e+17	3.9823005e+19	207.07748818397522
10	0.046524957	0.056862913	0.2915566	0.009716228	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	50000	32311237000.0	6731505700.0	61265633000.0	5010632000.0	32312603000.0	6729166300.0	61257957000.0	5030622700.0	33293797000.0	7115502600.0	63576703000.0	4661612000.0	93.57124	2.1200538	97.93465	76.76546	-45545337000.0	7.1335394e+17	7.1810644e+17	7.613989e+19	229.99330472946167
11	0.14440437	0.2012243	0.74839866	0.011726617	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	55000	43338936000.0	8842782000.0	80257160000.0	5898441000.0	43340833000.0	8840049000.0	80270070000.0	5921426400.0	44604207000.0	9340127000.0	82728810000.0	5557728000.0	93.56865	2.1230984	97.93787	73.83688	-60959523000.0	1.2247988e+18	1.2325334e+18	1.3544453e+20	252.923894405365
12	0.053189207	0.0720056	0.29339918	0.006977363	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	60000	56416248000.0	11290049000.0	103687920000.0	7776082400.0	56418865000.0	11286762000.0	103700940000.0	7805233000.0	58010874000.0	11917556000.0	107144330000.0	7313815600.0	93.5715	2.1171417	97.91637	76.62573	-79280130000.0	2.0142593e+18	2.0269162e+18	2.2878429e+20	275.91920948028564
13	0.34098044	1.1778156	5.9658184	0.0085726315	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	65000	71851336000.0	14208626000.0	131537090000.0	3182361300.0	71854770000.0	14204491000.0	131528320000.0	3191073800.0	73818500000.0	14982767000.0	136262380000.0	2960055300.0	93.57121	2.1218376	97.91362	77.2069	-100877885000.0	3.2044332e+18	3.22406e+18	3.7003925e+20	298.97025752067566
14	0.1317928	0.33082834	1.552303	0.006872478	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	70000	89480290000.0	18033281000.0	163166270000.0	3231621600.0	89484755000.0	18028585000.0	163157030000.0	3240172500.0	91852330000.0	19005647000.0	173214810000.0	3034147600.0	93.56939	2.1216984	97.93663	75.72261	-125688980000.0	4.993226e+18	5.022416e+18	5.7813433e+20	321.9896836280823
15	0.08239644	0.18325627	0.91400146	0.005434755	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	75000	109937760000.0	22059762000.0	199097830000.0	3677120800.0	109943410000.0	22054179000.0	199088830000.0	3684963800.0	112796730000.0	23241335000.0	207119140000.0	3309560600.0	93.565346	2.1207817	97.96329	74.704575	-154292140000.0	7.5135237e+18	7.556545e+18	8.6900255e+20	345.0385398864746
16	0.049145125	0.073514536	0.33099473	0.0042319354	0.010411462	9.313226e-10	0.010411461	0.010411461	200.0	200.0	80000	133106336000.0	26613754000.0	236003840000.0	3825058300.0	133113340000.0	26607280000.0	236031440000.0	3833216000.0	136488430000.0	28052683000.0	248115350000.0	3193323000.0	93.57133	2.1233428	97.93744	75.91325	-186756430000.0	1.0993965e+19	1.1055373e+19	1.2746258e+21	368.1105616092682
