Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.84310895	0.27317414	1.3711966	0.5863405	0.22775717	0.0	0.22775717	0.22775717	1000.0	1000.0	5000	1.7961507	1.1299709	3.556393	-0.97578186	1.7961484	1.1299803	3.5433083	-0.7861982	-2.1081402	0.0019498173	19.333198070526123
2	0.84594834	1.3028089	3.4506488	0.14302471	0.22775719	0.0	0.22775719	0.22775719	1000.0	1000.0	10000	1.4739492	0.65075856	3.0858905	0.285192	1.4739525	0.6507564	3.0830326	0.2897536	-1.3585842	0.00031799625	38.6432888507843
3	0.6967002	0.7488809	2.0383508	0.078927055	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	15000	0.6640897	0.19166872	1.2745547	-0.0377103	0.66409004	0.19166592	1.2756075	-0.045976683	-0.6731647	7.460252e-05	56.92386746406555
4	0.8245455	0.4033318	1.267588	0.16878335	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	20000	0.42796397	0.2581208	1.5049338	-0.482253	0.42796454	0.2581206	1.5027264	-0.47788274	-0.4649081	8.3568215e-05	75.57062697410583
5	0.4679738	0.34294355	1.0448519	0.06971536	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	25000	1.2219914	0.33007383	2.0847769	-0.176882	1.2219919	0.33007124	2.0783958	-0.19371995	-1.3169352	0.00020200691	94.1140604019165
6	0.7342734	0.8369137	2.3832505	0.09701111	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	30000	1.816656	0.24543032	2.4026685	0.62224007	1.8166573	0.24542499	2.4044693	0.61743355	-1.872554	0.00018424145	112.7928376197815
7	0.593764	0.33689693	1.0661073	0.12631674	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	35000	1.8885705	0.19047363	2.4067554	0.9938754	1.8885715	0.19046864	2.404616	0.98904943	-1.8942307	9.1656744e-05	131.1333818435669
8	0.5432774	0.39210975	1.1895322	0.20632756	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	40000	1.556742	0.14135948	2.0438519	1.0222509	1.5567425	0.14135958	2.045807	1.0167758	-1.5534706	3.784593e-05	149.52043843269348
9	1.1826532	1.3255543	3.7383766	0.09581249	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	45000	1.3734921	0.09620023	1.7070742	0.97890973	1.373492	0.09620477	1.7108376	0.97904515	-1.3797381	2.6058555e-05	167.98290467262268
10	0.24808314	0.11118965	0.44998106	0.12640017	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	50000	1.2530273	0.07331036	1.5486465	0.97038066	1.2530265	0.07331453	1.5466261	0.96908987	-1.2581527	2.0468882e-05	186.64206314086914
11	0.77185583	0.31469983	1.2562504	0.36312836	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	55000	1.1810964	0.053120278	1.3448602	0.96429014	1.1810968	0.05311861	1.3448831	0.9644244	-1.1915582	1.528929e-05	205.48633551597595
12	0.6144663	0.3752171	1.2492769	0.18896402	0.054485105	3.7252903e-09	0.05448511	0.05448511	1000.0	1000.0	60000	1.1312143	0.043158475	1.2589269	0.92582756	1.1312146	0.043155372	1.2594489	0.92455095	-1.1449128	1.1986339e-05	224.00152444839478
