Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.0061203	0.80492115	3.2869694	0.2622948	300.0	-0.041949403	0.27502632	0.9685738	-1.077748	4000	1.525879e-08	0.135319	-0.026667984	-0.1157335	7.3720765	0.016974764	0.198	9.0	16.817325830459595
1	0.66330135	0.9422599	3.876579	0.23926811	300.0	0.07193805	0.1776902	0.73666704	-0.3708638	8000	8.8214875e-09	0.08847976	-0.01808593	-0.040567823	7.2955723	0.016240789	0.22325	10.0	32.965781688690186
2	1.5411971	1.1410602	4.195862	0.27783218	300.0	0.02963562	0.23525746	1.3934132	-0.64163953	12000	1.1444092e-08	0.06615667	-0.033622395	-0.034842916	7.3136516	0.015232805	0.231	43.0	49.31186127662659
3	1.7088033	1.6091616	5.2149906	0.17059736	300.0	0.115414865	0.285866	1.1857746	-0.388154	16000	1.9073486e-08	0.11995831	-0.021051753	-0.048934184	7.322693	0.017603314	0.23225	11.0	65.3494827747345
4	1.5380889	0.6940245	2.9097836	0.85545623	300.0	0.19543509	0.32066298	1.6442125	-0.462676	20000	-2.6702882e-08	0.06506346	-0.016361926	-0.044530563	7.312055	0.015052571	0.26325	6.0	81.36320662498474
5	2.009411	1.0101295	3.8207505	0.5099686	300.0	0.1818435	0.33392945	1.1796163	-0.38750836	24000	0.0	0.058127556	-0.016553989	-0.027321247	7.3311186	0.019718178	0.2835	7.0	97.51411199569702
6	2.3932061	0.9726069	3.808679	0.6688854	300.0	0.18524432	0.3043032	1.5165796	-0.22354093	28000	-3.6239623e-08	0.05650116	-0.01924553	-0.026682714	7.22959	0.016727537	0.24525	10.0	113.69670248031616
7	2.8829613	1.6403273	5.7892175	0.32404068	300.0	0.2949972	0.34871674	1.977135	-0.3141644	32000	1.7166137e-08	0.12798604	-0.011672679	-0.060385376	7.313047	0.020250442	0.222	6.0	129.86303806304932
8	2.7285254	1.7690381	5.7154603	0.80246687	300.0	0.36327276	0.4593008	2.1429276	-0.37192392	36000	3.051758e-08	0.09739169	-0.019062053	-0.03798345	7.3673387	0.016547257	0.21575	10.0	145.96290850639343
9	4.3163586	2.3185728	9.388912	0.6094703	300.0	0.42101812	0.4585086	2.1664166	-0.5083615	40000	-3.242493e-08	0.5704448	-0.012986593	-0.291815	7.2702746	0.017983988	0.1685	7.0	162.1536078453064
10	4.899293	2.3350422	11.078866	1.6317376	300.0	0.7853546	0.84696853	2.8393385	-1.1017249	44000	1.9073487e-09	0.5541117	-0.009998032	-0.32613692	7.318119	0.016776256	0.1765	4.0	178.65908432006836
11	4.4539914	2.0093358	7.998338	1.9176561	300.0	0.80738926	1.0883677	3.5574336	-1.6375204	48000	1.2397766e-08	0.9178902	-0.014496511	-0.6058992	7.305668	0.018677467	0.2885	5.0	195.03965973854065
12	7.140285	3.26509	14.803545	2.2206593	300.0	1.1459202	0.73651195	2.9639966	-0.35478693	52000	-1.9073487e-09	1.457898	-0.015093847	-0.97141564	7.261699	0.015972542	0.19175	7.0	211.45393562316895
