Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.4437833	1.1479985	4.9352736	0.36062256	0.22737555	0.057451002	0.33410504	0.15560569	200.0	200.0	5000	3.4383347	1.9368327	8.572147	-0.57848483	-3.763225	0.006983985	34.68132996559143
2	1.2054644	0.9902943	3.4361832	0.30351365	1.1627452	0.17777663	1.4117959	0.8812806	200.0	200.0	10000	8.92623	1.2255136	12.482493	5.1454005	-9.155318	0.008948986	68.51521039009094
3	13.630641	20.405512	89.33313	0.28388876	90.30443	13.70515	109.900734	71.9729	200.0	200.0	15000	11.748992	1.8984619	18.877823	6.961332	-12.018995	0.018170722	108.30953097343445
4	89.93701	38.407837	199.17944	29.050316	110.68811	25.539072	176.46394	82.806404	200.0	200.0	20000	18.310608	3.6160877	27.873356	8.785226	-18.7107	0.03440226	151.92516446113586
5	97.37696	34.53624	142.9352	9.512206	129.72818	19.581858	169.88844	115.71357	200.0	200.0	25000	27.113632	5.1669993	38.60831	12.434581	-27.58845	0.05580055	195.73473477363586
6	85.33859	45.739105	199.98413	12.529947	97.01882	14.386411	114.537994	74.313896	200.0	200.0	30000	36.276745	5.296027	50.556423	18.787401	-36.756836	0.089487754	239.16711163520813
7	91.10061	54.060642	198.14044	0.19829036	0.2692144	0.09790891	0.43724054	0.15935758	200.0	200.0	35000	45.606445	5.6971364	70.34949	25.698486	-46.324757	0.1547237	282.220760345459
8	0.62448794	0.850573	3.4095304	0.12648837	0.40151006	0.074241266	0.5147251	0.2713355	200.0	200.0	40000	61.930107	7.279131	79.3753	22.380362	-62.93558	0.20869863	320.8671193122864
9	13.538098	25.015848	96.01273	0.24810465	51.02762	14.345022	74.32757	26.03591	200.0	200.0	45000	68.43667	6.8376193	83.53872	21.416147	-69.00587	0.18830521	359.38842487335205
10	51.73183	39.43882	146.50267	4.806609	78.29747	53.53284	193.02887	20.487259	200.0	200.0	50000	69.70011	6.6153946	87.326164	29.424963	-70.22959	0.21312822	400.20578932762146
11	88.06729	43.09488	144.63454	4.720565	124.26558	66.258224	200.31146	30.915306	200.0	200.0	55000	71.31974	7.5300484	89.38734	36.537003	-71.916115	0.23221853	442.0692689418793
