Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-755.33276	134.20074	-491.21777	-867.227	1000.0	0.39414605	0.4141453	0.9367383	-0.68545324	5000	-7.324219e-08	5196.988	-0.030061645	-4431.0947	8.2506695	0.01096321	0.143	79.0	5.2555553913116455
1	-738.33514	123.2663	-492.0592	-809.7432	1000.0	-64.79428	12.7245245	-19.603582	-83.59942	10000	1.411438e-08	462.62946	-0.027416587	-277.31744	8.225689	0.015271868	0.136	41.0	10.21418571472168
2	-668.46796	150.52304	-490.134	-853.47894	1000.0	-69.01471	9.7424	-32.990967	-92.413475	15000	-3.8146972e-08	247.49142	-0.03696002	-130.15173	8.18884	0.0150034195	0.1602	79.0	15.4822256565094
3	-802.64026	59.90003	-711.1538	-900.39	1000.0	-71.24656	16.321287	-20.338306	-128.54381	20000	-1.8310548e-08	187.07228	-0.027774915	-125.28162	8.137154	0.015125893	0.1522	21.0	20.516948699951172
4	-724.1476	105.80224	-514.33044	-797.6552	1000.0	-80.19539	11.783545	-56.179333	-115.880226	25000	9.155274e-09	133.21979	-0.031013947	-87.11467	8.1594925	0.015321512	0.1608	56.0	25.455737829208374
5	-792.2337	73.54921	-661.9806	-887.3283	1000.0	-76.49305	12.222352	-46.95091	-102.77107	30000	1.6784668e-08	68.08803	-0.038105983	-32.45917	8.179504	0.010171892	0.1734	79.0	30.369248628616333
6	-675.144	163.24957	-471.2054	-824.3597	1000.0	-75.15586	12.850153	-50.09967	-105.06081	35000	0.0	152.38103	-0.037855655	-108.21484	8.133932	0.010878998	0.1706	79.0	35.659064531326294
7	-664.1703	128.36124	-484.44943	-810.1454	1000.0	-65.22359	18.850016	-38.880424	-105.762535	40000	1.2207031e-08	51.25214	-0.037678026	-18.708897	8.050515	0.0072504478	0.1616	79.0	40.668065786361694
8	-482.70117	18.581623	-462.63458	-513.6966	1000.0	-50.046932	15.434469	-36.0973	-100.10361	45000	-3.3569336e-08	32.5198	-0.03790761	-26.248524	8.073803	0.0045616054	0.1422	79.0	45.62193465232849
9	-481.31412	14.611309	-466.99783	-508.3485	1000.0	-45.236904	15.514983	-26.33731	-92.317505	50000	1.8310548e-08	12.525406	-0.039985247	-6.3535495	7.9900446	0.008990879	0.1412	79.0	50.88004946708679
