Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.7175168	0.5709067	2.1462867	0.182745	400.0	-0.027511034	0.2711688	0.9574125	-0.92023647	4000	1.8626451e-09	0.10106773	-0.024051636	-0.091750406	7.3488255	0.01616485	0.1945	7.0	11.006771802902222
1	1.335504	1.0104926	3.544216	0.22981335	400.0	0.035950378	0.08413813	0.41896388	-0.2296833	8000	9.313226e-10	0.053050756	-0.014767339	-0.032013856	7.3867297	0.017427772	0.1995	7.0	20.884856700897217
2	0.83243227	0.87346184	3.1306868	0.16625468	400.0	0.044768654	0.16340415	0.83850026	-0.41454905	12000	1.9557774e-08	0.028922796	-0.015069263	-0.02050974	7.3623595	0.015984803	0.2025	8.0	30.64239811897278
3	1.5349865	0.8060828	3.0441756	0.5188163	400.0	0.06547722	0.12738217	0.8517456	-0.2601569	16000	-2.4912879e-08	0.052735053	-0.011240801	-0.0387538	7.266991	0.01615488	0.22225	7.0	40.493597984313965
4	1.9342754	1.2571852	3.8597388	0.3326508	400.0	-0.0011800651	0.1738024	1.144495	-0.47376975	20000	1.0244548e-08	0.052001618	-0.014603828	-0.03170131	7.3576784	0.015716553	0.2405	8.0	50.43069052696228
5	2.2885995	1.329029	4.5589285	0.73054624	400.0	0.09111879	0.27587244	2.0350573	-0.3571337	24000	7.450581e-09	0.047530055	-0.01624708	-0.030601136	7.3319426	0.017069817	0.2735	8.0	60.348090171813965
6	1.8241165	1.0772604	4.029445	0.4860174	400.0	0.040463053	0.2082053	2.1789455	-0.2063859	28000	1.6298145e-08	0.020466922	-0.013967078	-0.0084119	7.343082	0.017312203	0.18725	11.0	70.4904112815857
7	1.9391369	0.93163276	3.3035164	0.36088303	400.0	0.039278537	0.19963643	1.9940636	-0.5083778	32000	6.0535967e-09	0.037055485	-0.014858865	-0.01991788	7.351403	0.018687649	0.227	7.0	80.54583239555359
8	3.481851	2.0042984	8.262679	1.0685359	400.0	0.0560308	0.22345044	2.0569563	-0.26420042	36000	7.450581e-09	0.123294905	-0.015596816	-0.06023355	7.3347397	0.01570225	0.228	15.0	90.83485555648804
9	3.754177	1.62108	6.9761434	2.0489638	400.0	0.13514003	0.39818373	3.2611756	-0.49626255	40000	-7.450581e-09	0.19270049	-0.015398331	-0.14002772	7.327485	0.01886126	0.22975	8.0	101.05822372436523
10	2.2842424	1.2979262	4.285859	0.4308372	400.0	0.08175473	0.4579333	3.1943872	-0.68292373	44000	1.21071935e-08	0.111802176	-0.017906843	-0.092866585	7.331133	0.017285787	0.21525	8.0	111.82039332389832
11	3.805854	1.7513425	6.09067	1.1479883	400.0	0.016433345	0.29112685	2.602011	-0.4778412	48000	3.7252903e-09	0.11198128	-0.013749946	-0.06436649	7.338169	0.01966982	0.22925001	10.0	122.32313680648804
12	3.7324862	1.9927343	7.191415	0.5276519	400.0	0.10690636	0.40192205	3.556671	-0.16711058	52000	-5.5879354e-09	0.13446409	-0.014080036	-0.07237014	7.2642107	0.022331022	0.24075	7.0	132.83239221572876
13	3.2402453	2.5121732	9.154968	0.34252807	400.0	0.11891899	0.4721719	4.1621823	-0.3519185	56000	7.450581e-09	0.18924671	-0.016203094	-0.08888474	7.296438	0.016307008	0.23075	12.0	143.14914083480835
