Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.81530285	0.6759336	3.0206535	0.095431395	200.0	-0.0149756735	0.27750313	0.92854154	-0.94690263	4000	1.4901161e-08	0.10448867	-0.02581199	-0.08009258	7.3488255	0.016413623	0.228	9.0	12.30814504623413
1	0.921628	0.6913465	2.2913384	0.16205826	200.0	0.060139798	0.13785225	0.61942655	-0.2817445	8000	5.5879354e-09	0.026576847	-0.014480643	-0.014564158	7.374403	0.01792835	0.2095	6.0	23.581346035003662
2	1.1117133	1.0801585	3.8464227	0.24156724	200.0	0.06169626	0.120872736	0.8063947	-0.20922047	12000	1.1175871e-08	0.03470236	-0.011455504	-0.010836119	7.3408785	0.01990634	0.215	7.0	34.764273166656494
3	1.7379177	1.0294437	3.4201136	0.18020502	200.0	0.08886078	0.19676268	1.3938882	-0.25296125	16000	1.8626451e-08	0.06934107	-0.01479245	-0.040657744	7.237991	0.019500472	0.206	8.0	46.641382455825806
4	2.0032742	1.407799	4.877865	0.368026	200.0	0.10518788	0.2656312	1.7432182	-0.5793238	20000	9.313226e-09	0.08278796	-0.016254053	-0.040323116	7.3237085	0.017966855	0.21474999	9.0	58.089510917663574
5	3.2388673	2.1922722	10.229189	1.0208946	200.0	0.20799646	0.39194825	2.6451802	-0.33345652	24000	1.4901161e-08	0.6520088	-0.014269676	-0.39680734	7.28988	0.016767956	0.2315	10.0	69.59159255027771
6	2.5111256	1.8893687	8.250252	0.6260452	200.0	0.5012019	0.7419003	3.8275476	-1.0067452	28000	3.7252903e-09	0.58741474	-0.015267082	-0.4243477	7.287629	0.017199595	0.225	6.0	80.93741917610168
7	3.4970634	1.9155244	7.4759116	0.4076572	200.0	0.21884042	0.44998142	2.873861	-0.85673934	32000	-1.8626451e-08	0.29054797	-0.01991984	-0.1014389	7.2912674	0.016877903	0.27725	14.0	92.39950799942017
8	3.7196136	1.8709491	8.686921	1.4578822	200.0	0.2337543	0.5538182	3.7176347	-0.56483436	36000	-9.313226e-10	0.2267529	-0.018533926	-0.07300073	7.2684684	0.015371439	0.21775	15.0	104.39320683479309
9	3.0831468	1.7163104	6.488134	0.47878414	200.0	0.2401107	0.5441429	3.6910577	-0.41206288	40000	2.9802322e-08	0.19068742	-0.018662564	-0.06546666	7.2558355	0.017835107	0.2005	10.0	116.57763838768005
10	4.1422462	2.092814	7.7957067	0.983299	200.0	0.24340892	0.5373464	3.2725995	-0.68952256	44000	-2.3283064e-09	0.487539	-0.014062108	-0.2567114	7.2559357	0.01874109	0.225	8.0	128.39694595336914
11	4.122934	1.8908921	9.901265	1.6339507	200.0	0.35327014	0.75933415	4.1713166	-0.52571505	48000	1.9557774e-08	0.35611668	-0.021246236	-0.21289012	7.260454	0.015788011	0.25475	12.0	139.93688797950745
12	3.8901474	2.1263087	9.916707	0.9953768	200.0	0.37781066	0.708332	4.6421094	-0.7494258	52000	-6.519258e-09	0.4987877	-0.01862733	-0.30054328	7.1863203	0.016187593	0.23275	10.0	151.521479845047
