Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-417856.1	50032.55	-293467.38	-556463.06	1000.0	1.0914495	2.609848	27.351177	-20.674637	50000	-1.0009766e-07	1377771800.0	0.044012826	-21445632.0	6.4354825	0.89558506	0.41798	1.0	39.74933838844299
1	-399392.56	63095.21	-250799.58	-522760.78	1000.0	-282.02756	290.6919	-5.231437	-3533.701	100000	1.159668e-07	1250448500.0	0.025428258	-110400380.0	6.445529	0.2856013	0.228	1.0	78.79592537879944
2	-382671.38	44339.28	-288784.88	-470696.56	1000.0	-1928.9454	1722.8037	-46.085533	-19734.662	150000	-5.3710938e-08	1035610240.0	0.020243775	-237207680.0	6.4363256	0.059911612	0.18234	1.0	118.36494755744934
3	-371833.8	53688.266	-279988.1	-509019.9	1000.0	-6380.05	5177.8936	-147.60576	-58472.15	200000	9.277344e-08	764347000.0	0.027703568	-247802880.0	6.436475	0.028451318	0.13694	1.0	158.16533708572388
4	-342745.38	61460.72	-78759.59	-490051.88	1000.0	-12953.936	9520.366	-163.4798	-115886.16	250000	2.4414062e-08	429536830.0	0.03421915	-123950940.0	6.428162	0.027254656	0.09732	1.0	198.33791327476501
5	-339539.56	39496.52	-250036.48	-446112.56	1000.0	-18486.078	10713.295	-293.4955	-141648.9	300000	-1.34277345e-08	290307550.0	0.027368613	-80807650.0	6.424349	0.019170782	0.13596	3.0	237.3609390258789
6	-304038.4	44257.96	-211994.94	-403374.78	1000.0	-22054.36	9484.504	-764.1331	-130177.7	350000	6.5612795e-08	159291090.0	-0.017471915	-26141376.0	6.434686	0.010262899	0.1327	79.0	277.4177794456482
7	-292265.03	44744.297	-203592.75	-413397.34	1000.0	-22918.016	7732.368	-850.28784	-101651.21	400000	-1.9836426e-09	133636536.0	-0.021957574	-9952432.0	6.385807	0.011151111	0.12092	79.0	317.2647726535797
8	-271850.56	34981.523	-208181.23	-341310.97	1000.0	-23474.576	6816.6914	-901.5747	-103989.08	450000	-6.1035155e-09	109793040.0	-0.023214096	-6016856.0	6.392385	0.0089866575	0.11648	79.0	357.27041268348694
9	-246914.62	37919.465	-186782.27	-402912.47	1000.0	-22167.5	5736.1294	-885.14197	-102745.46	500000	4.0893553e-08	93173300.0	-0.024231203	-6782848.0	6.347899	0.011122082	0.12146	79.0	397.2427270412445
10	-238650.31	60414.613	-142721.64	-425399.6	1000.0	-20462.463	5270.259	-834.4761	-89425.76	550000	3.173828e-08	140705760.0	-0.024931204	-3270608.0	6.329421	0.012895523	0.12982	79.0	437.4402198791504
11	-231664.92	47406.945	-164393.23	-386374.94	1000.0	-19439.057	5062.5376	-807.30707	-88623.74	600000	-5.2185058e-08	100268050.0	-0.026912898	-2945336.0	6.311935	0.01305778	0.13698	79.0	477.4370481967926
12	-205454.81	38402.242	-132452.38	-312024.7	1000.0	-18450.568	4791.934	-774.53	-85014.12	650000	1.586914e-08	84995710.0	-0.025974663	-5671160.0	6.282624	0.011244412	0.12282	79.0	517.4417307376862
13	-186172.14	40648.234	-106591.47	-295795.03	1000.0	-16610.574	4251.274	-714.04626	-76347.9	700000	4.5166015e-08	78066310.0	-0.025979713	-5913816.0	6.2532268	0.01213034	0.11838	79.0	557.4344069957733
14	-174980.42	44679.902	-63852.42	-289639.22	1000.0	-14900.577	4183.9624	-651.71606	-70089.42	750000	0.0	82917050.0	-0.026673187	-3076216.0	6.248325	0.012129679	0.1272	79.0	597.4539887905121
15	-167911.34	34361.71	-93935.66	-264459.25	1000.0	-14033.401	4175.1157	-613.26746	-77901.0	800000	-3.2958983e-08	60742790.0	-0.026242241	-3388580.0	6.2081375	0.012753645	0.12314	79.0	637.414252281189
16	-167035.06	42899.72	-101122.7	-299970.22	1000.0	-12948.426	4072.3855	-568.24414	-82990.6	850000	1.8310548e-08	78178780.0	-0.026898582	-1128144.0	6.1813774	0.013298247	0.12496	79.0	677.4652302265167
17	-154876.97	35705.566	-77761.516	-245473.88	1000.0	-12590.005	4090.9436	-557.6904	-98964.24	900000	-1.7089844e-08	58562308.0	-0.026423192	-2389692.0	6.172259	0.014800185	0.12884	72.0	717.3838262557983
18	-143826.66	33806.0	-93800.38	-217767.36	1000.0	-11651.671	3973.6472	-522.49335	-74195.37	950000	1.9683839e-08	59342660.0	-0.027384238	-2797884.0	6.168606	0.014598379	0.13012	79.0	757.444696187973
